"meta.id","meta.device","meta.remote.device","meta.name","meta.admin_status","meta.if_admin_status","meta.sap_admin_status","meta.vrtr_ifadminstatus","meta.oper_status","meta.port_name","meta.remote.id","meta.remote.port","meta.remote.network","meta.speed","meta.vrtr_name","meta.service_type","Sum values.if_in_bits.delta","Average values.if_in_bits.rate","Sum values.if_out_bits.delta","Average values.if_out_bits.rate"
sacr-cr6::doenet-wapa-fo_se-507,sacr-cr6,sacr-mpr1,doenet-wapa-fo_se-507,up,up,up,up,up,lag-20,sacr-mpr1::ae20,ae20,ESnet6,20000,Base,ies,3741926683672,43644626,562813205320,6546387
pppl-cr6::pppl-ps-hc-817,pppl-cr6,pppl-mpr1,pppl-ps-hc-817,up,up,up,up,up,lag-20,pppl-mpr1::ae20,ae20,ESnet6,20000,Base,ies,15999069536,185207,15523160512,179702
pantex-cr6::pantex-ps-hc-811,pantex-cr6,pantex-mpr1,pantex-ps-hc-811,up,up,up,up,up,lag-20,pantex-mpr1::ae20,ae20,ESnet6,20000,Base,ies,14388424,167,11524536,133
pantex-cr6::doenet-pantex_se-863,pantex-cr6,pantex-mpr1,doenet-pantex_se-863,up,up,up,up,up,lag-20,pantex-mpr1::ae20,ae20,ESnet6,20000,Base,ies,446239234096,5166230,1138938303248,13190003
ornl5600-cr6::ornl5600-ps-hc-793,ornl5600-cr6,ornl5600-mpr1,ornl5600-ps-hc-793,up,up,up,up,up,lag-20,ornl5600-mpr1::ae20,ae20,ESnet6,20000,Base,ies,43363555328,502808,45403258080,526297
ornl5600-cr6::doe-sc-osti_se-444,ornl5600-cr6,ornl5600-mpr1,doe-sc-osti_se-444,up,up,up,up,down,lag-20,ornl5600-mpr1::ae20,ae20,ESnet6,20000,Base,ies,0,0,2111616,24.4
ornl5600-cr6::doe-sc-osti_se-443,ornl5600-cr6,ornl5600-mpr1,doe-sc-osti_se-443,up,up,up,up,up,lag-20,ornl5600-mpr1::ae20,ae20,ESnet6,20000,Base,ies,0,0,0,0
ornl1064-cr6::ornl1064-ps-hc-791,ornl1064-cr6,ornl1064-mpr1,ornl1064-ps-hc-791,up,up,up,up,up,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,43595512616,506058,45639658176,529677
ornl1064-cr6::doenet-oro_se-481,ornl1064-cr6,ornl1064-mpr1,doenet-oro_se-481,up,up,up,up,up,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,724368425224,8465242,2278602618712,26459640
ornl1064-cr6::doe-sc-osti_se-95,ornl1064-cr6,ornl1064-mpr1,doe-sc-osti_se-95,up,up,up,up,up,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,741719992,8616,23418578952,271732
ornl1064-cr6::doe-sc-oro_se-87,ornl1064-cr6,ornl1064-mpr1,doe-sc-oro_se-87,up,up,up,up,down,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,748688,8.71,324704,3.78
ornl1064-cr6::doe-sc-oro_se-86,ornl1064-cr6,ornl1064-mpr1,doe-sc-oro_se-86,up,up,up,up,up,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,7834769734416,91007395,10618779166672,123262365
ornl1064-cr6::doe-sc-oro_se-565,ornl1064-cr6,ornl1064-mpr1,doe-sc-oro_se-565,up,up,up,up,down,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,0,0,36808144,427
ornl1064-cr6::doe-sc-oro_se-564,ornl1064-cr6,ornl1064-mpr1,doe-sc-oro_se-564,up,up,up,up,up,lag-20,ornl1064-mpr1::ae20,ae20,ESnet6,20000,Base,ies,74482494976,866937,228240656208,2669066
orau-cr6::orau-ps-hc-825,orau-cr6,orau-mpr1,orau-ps-hc-825,up,up,up,up,up,lag-20,orau-mpr1::ae20,ae20,ESnet6,20000,Base,ies,62711430544,725887,64754358320,749523
nrelrsf-cr6::nrelrsf-ps-hc-1229,nrelrsf-cr6,nrelrsf-mpr1,nrelrsf-ps-hc-1229,up,up,up,up,up,lag-20,nrelrsf-mpr1::ae20,ae20,ESnet6,20000,Base,ies,14385424,166,11656224,135
nrelesif-cr6::nrelesif-ps-hc-1231,nrelesif-cr6,nrelesif-mpr1,nrelesif-ps-hc-1231,up,up,up,up,up,lag-20,nrelesif-mpr1::ae20,ae20,ESnet6,20000,Base,ies,17888880,207,15132400,175
nnss-cr6::nnss-ps-hc-1205,nnss-cr6,nnss-mpr1,nnss-ps-hc-1205,up,up,up,up,up,lag-20,nnss-mpr1::ae20,ae20,ESnet6,20000,Base,ies,22125616,256,17962896,208
newy32aoa-cr6::to_newy32aoa-gw,newy32aoa-cr6,newy32aoa-mpr1,to_newy32aoa-gw,up,up,up,up,up,lag-20,newy32aoa-mpr1::ae20,ae20,ESnet6,20000,Base,ies,175278488,2030,788592880,9075
newy32aoa-cr6::to_manlan-mgmt_v4,newy32aoa-cr6,eqxld8-cr6,to_manlan-mgmt_v4,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,0,0,0,0
newy32aoa-cr6::sinet_se-365,newy32aoa-cr6,eqxld8-cr6,sinet_se-365,up,up,up,up,down,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,7315536,84.7,7423728,86.0
newy32aoa-cr6::sinet_se-364,newy32aoa-cr6,eqxld8-cr6,sinet_se-364,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,227492452096,2632016,15854800,184
newy32aoa-cr6::pennstate_se-369,newy32aoa-cr6,eqxld8-cr6,pennstate_se-369,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,40331255888,468318,398485997216,4617728
newy32aoa-cr6::nordunet_se-359,newy32aoa-cr6,eqxld8-cr6,nordunet_se-359,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,78682576,912,11815264,137
newy32aoa-cr6::newy32aoa-ps-hc-771,newy32aoa-cr6,newy32aoa-mpr1,newy32aoa-ps-hc-771,up,up,up,up,up,lag-20,newy32aoa-mpr1::ae20,ae20,ESnet6,20000,Base,ies,85540363720,991209,86271805592,999725
newy32aoa-cr6::internet2_se-370,newy32aoa-cr6,eqxld8-cr6,internet2_se-370,up,up,up,up,down,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,270367568600,3133208,8014277172528,92793421
newy32aoa-cr6::internet2_se-361,newy32aoa-cr6,eqxld8-cr6,internet2_se-361,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,78662229663656,911654854,20176308931072,233791202
newy32aoa-cr6::geant_se-360,newy32aoa-cr6,eqxld8-cr6,geant_se-360,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,57637000,668,15018056,174
newy32aoa-cr6::fabric_se-1233,newy32aoa-cr6,newy32aoa-mpr1,fabric_se-1233,up,up,up,up,down,lag-20,newy32aoa-mpr1::ae20,ae20,ESnet6,20000,Base,ies,77189568,894,63004768,730
newy32aoa-cr6::canarie_se-363,newy32aoa-cr6,eqxld8-cr6,canarie_se-363,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,4170105441496,48359533,15258165778832,176701736
newy32aoa-cr6::canarie_se-362,newy32aoa-cr6,eqxld8-cr6,canarie_se-362,up,up,up,up,up,2/1/c3/1,eqxld8-cr6::2/1/c1/1,2/1/c1/1,ESnet6,100000,Base,ies,235448142272,2730884,86294780014736,1001526022
newy1118th-cr6::newy1118th-ps-hc-773,newy1118th-cr6,newy1118th-mpr1,newy1118th-ps-hc-773,up,up,up,up,up,lag-20,newy1118th-mpr1::ae20,ae20,ESnet6,20000,Base,ies,72973116488,845691,78725555280,912361
netlpgh-cr6::netlpgh-ps-hc-813,netlpgh-cr6,netlpgh-mpr1,netlpgh-ps-hc-813,up,up,up,up,up,lag-20,netlpgh-mpr1::ae20,ae20,ESnet6,20000,Base,ies,14121308568,163471,14797555432,171296
netlmgn-cr6::netlmgn-ps-hc-815,netlmgn-cr6,netlmgn-mpr1,netlmgn-ps-hc-815,up,up,up,up,up,lag-20,netlmgn-mpr1::ae20,ae20,ESnet6,20000,Base,ies,22835872,264,17741456,205
nash-cr6::nash-ps-hc-787,nash-cr6,nash-mpr1,nash-ps-hc-787,up,up,up,up,up,lag-20,nash-mpr1::ae20,ae20,ESnet6,20000,Base,ies,52733151640,610862,53077067824,614800

